["science"] : 287 => ["https://t.co/ncW6s0bfPn", "wann…"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["wann…", "science"] : 287 : 1.0 : 34.30662020905923
["wann…", "science"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "wann…"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["https://t.co/ncW6s0bfPn", "already"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["science", "already"] : 287 : 1.0 : 34.30662020905923
["science", "already"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "already"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["https://t.co/ncW6s0bfPn", "@dcmp_tweets:"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["@dcmp_tweets:", "science"] : 287 : 1.0 : 34.30662020905923
["@dcmp_tweets:", "science"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "@dcmp_tweets:"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["perfection", "Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["perfection", "science"] : 287 : 1.0 : 34.30662020905923
["perfection", "science"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["perfection", "Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017", "Taehyung's"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["science", "Taehyung's"] : 287 : 1.0 : 34.30662020905923
["science", "Taehyung's"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017", "Taehyung's"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["defines", "Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["defines", "science"] : 287 : 1.0 : 34.30662020905923
["defines", "science"] : 287 => ["Sat Apr 01 14:39:20 UTC 2017"] : 287 : 1.0 : 34.30662020905923
["defines", "Sat Apr 01 14:39:20 UTC 2017"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
