[80, 82] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [82, 20] : 287 : 1.0 : 34.30662020905923
[82, 20] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [77, 78] : 287 : 1.0 : 34.30662020905923
[77, 78] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [81, 77] : 287 : 1.0 : 34.30662020905923
[81, 77] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [80, 77] : 287 : 1.0 : 34.30662020905923
[80, 77] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [83, 84] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [84, 79] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [83, 79] : 287 : 1.0 : 34.30662020905923
[83, 79] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 84] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [82, 83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [82, 79] : 287 : 1.0 : 34.30662020905923
[82, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[82, 83] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [83, 78] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [78, 79] : 287 : 1.0 : 34.30662020905923
[78, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 78] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [81, 83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [81, 79] : 287 : 1.0 : 34.30662020905923
[81, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[81, 83] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [83, 77] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [77, 79] : 287 : 1.0 : 34.30662020905923
[77, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 77] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [80, 83] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [80, 79] : 287 : 1.0 : 34.30662020905923
[80, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[80, 83] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [83, 20] : 287 : 1.0 : 34.30662020905923
