[80, 82, 20, 24, 78] : 287 -> [81, 83, 75] : 0 : 1.0
[80, 81, 82, 20, 24] : 287 -> [83, 75, 78] : 0 : 1.0
[80, 81, 20, 24, 78] : 288 -> [82, 83, 75] : 0 : 0.9965277777777778
[80, 81, 82, 83, 75, 78] : 287 -> [20, 24] : 0 : 1.0
[81, 82, 83, 20, 75, 78] : 287 -> [80, 24] : 0 : 1.0
[81, 82, 83, 24, 75, 78] : 287 -> [80, 20] : 0 : 1.0
[80, 82, 83, 20, 75, 78] : 287 -> [81, 24] : 0 : 1.0
[80, 82, 83, 24, 75, 78] : 287 -> [81, 20] : 0 : 1.0
[82, 83, 20, 24, 75, 78] : 287 -> [80, 81] : 0 : 1.0
[80, 81, 82, 83, 20, 75] : 287 -> [24, 78] : 0 : 1.0
[80, 81, 82, 83, 24, 75] : 287 -> [20, 78] : 0 : 1.0
[81, 82, 83, 20, 24, 75] : 287 -> [80, 78] : 0 : 1.0
[80, 82, 83, 20, 24, 75] : 287 -> [81, 78] : 0 : 1.0
[80, 81, 83, 20, 75, 78] : 287 -> [82, 24] : 0 : 1.0
[80, 81, 83, 24, 75, 78] : 287 -> [82, 20] : 0 : 1.0
[81, 83, 20, 24, 75, 78] : 287 -> [80, 82] : 0 : 1.0
[80, 83, 20, 24, 75, 78] : 287 -> [81, 82] : 0 : 1.0
[80, 81, 83, 20, 24, 75] : 287 -> [82, 78] : 0 : 1.0
[80, 81, 82, 20, 75, 78] : 287 -> [83, 24] : 0 : 1.0
[80, 81, 82, 24, 75, 78] : 287 -> [83, 20] : 0 : 1.0
[81, 82, 20, 24, 75, 78] : 287 -> [80, 83] : 0 : 1.0
[80, 82, 20, 24, 75, 78] : 287 -> [81, 83] : 0 : 1.0
[80, 81, 82, 20, 24, 75] : 287 -> [83, 78] : 0 : 1.0
[80, 81, 20, 24, 75, 78] : 287 -> [82, 83] : 0 : 1.0
[80, 81, 82, 83, 20, 78] : 287 -> [24, 75] : 0 : 1.0
